Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6
0.621066677	0.032099133	0.019052285	0.261051425	0.010574655	0.013816908	0	0.032319353	0.001659389
0.273187445	0.05695154	0.083800418	0.163125791	0.135804919	0.012071555	0	0.014838616	0
0.657648353	0.030792842	0.02333324	0.216405805	0.013831979	0.022138807	0	0.019573651	0.003918894
0.475136012	0.036568203	0.098868408	0.148644591	0.041771687	0.011776624	0.001201765	0.013924836	0.00336906
0.57569819	0.037514366	0.045709824	0.214070006	0.03584166	0	0	0.01554213	0.004271849
0.346655152	0.064072546	0.135391038	0.127671691	0.062760403	0.010368291	0	0.010976755	0.003312771
0.661499568	0.021081228	0.030874922	0.207920251	0.014597821	0	0	0.021884811	0.00252173
0.457302307	0.046245608	0.033332792	0.154667081	0.052525639	0.039856184	0	0.031878859	0.010664169
0.421190345	0.085540692	0.073977662	0.173410068	0.051707565	0.026034131	0	0.019292639	0.003686268
0.458339224	0.050979877	0.017174659	0.339955089	0.026760703	0.034576652	0.002580051	0.053074405	0.007259657
0.494963958	0.044771534	0.014748966	0.269068768	0.029272591	0.043547139	0.001665016	0.045534834	0.016345125
0.583185497	0.063166288	0.018737493	0.230947918	0.014953946	0.040368973	0.00215134	0.030125809	0.005820795
0.425609228	0.096343993	0.060721357	0.170944677	0.08181251	0.009053686	0	0.01656986	0.00330708
0.627600548	0.028603903	0.03365013	0.176357624	0.031785688	0.011695739	0	0.013468505	0.002126469
0.213551102	0.096039081	0.138613311	0.168526798	0.192891266	0	0	0.004583198	0
0.576182902	0.054666996	0.023485249	0.166289573	0.03847155	0.045405371	0.001947424	0.027956159	0.009336548
0.483337013	0.061742598	0.033151394	0.23523777	0.046435777	0.023796403	0	0.030444161	0.005947153
0.532613983	0.040624261	0.009811119	0.272449658	0.015736855	0.055242117	0.003944433	0.046197362	0.015653265
0.665540176	0.027213465	0.011836473	0.22118894	0.011210203	0.027943835	0.001819167	0.018524931	0.005180434
0.509600929	0.042031322	0.060369047	0.228800784	0.043376009	0.016171542	0	0.01930014	0.003331027
0.492480212	0.064237473	0.049293693	0.223571146	0.056700313	0.017525347	0	0.017905131	0.005084019
0.585258723	0.042002906	0.053130985	0.195132873	0.026663786	0.033717894	0.004265101	0.014265786	0.005719596
