Ia	Ib	Ic	IIa	IIb	IIa6	IIb6	IIIa	IIIa6	origin
0.3300000	0.2700000	0.0200000	0.0200000	0.0000000	0.2600000	0.0700000	0.0000000	0.0300000	0.0000000
0.2100000	0.2300000	0.0100000	0.0400000	0.0100000	0.3100000	0.1200000	0.0100000	0.0600000	0.0000000
0.3800000	0.2300000	0.0300000	0.0600000	0.0300000	0.1400000	0.0800000	0.0100000	0.0300000	0.0000000
0.6100000	0.2300000	0.0400000	0.0200000	0.0100000	0.0700000	0.0200000	0.0000000	0.0000000	0.0000000
0.5400000	0.2100000	0.0300000	0.0100000	0.0000000	0.1300000	0.0400000	0.0000000	0.0100000	0.0000000
0.4600000	0.2500000	0.0300000	0.0400000	0.0100000	0.1100000	0.0800000	0.0000000	0.0100000	0.0000000
0.4600000	0.2000000	0.0300000	0.0200000	0.0100000	0.2000000	0.0600000	0.0000000	0.0200000	0.0000000
0.4300000	0.2200000	0.0300000	0.0300000	0.0100000	0.1600000	0.0800000	0.0000000	0.0200000	0.0000000
0.4300000	0.1700000	0.0200000	0.0500000	0.0200000	0.1800000	0.0700000	0.0100000	0.0300000	0.0000000
0.4200000	0.2500000	0.0400000	0.0300000	0.0200000	0.1400000	0.0700000	0.0100000	0.0200000	0.0000000
0.2800000	0.2200000	0.0200000	0.0400000	0.0100000	0.2600000	0.1100000	0.0100000	0.0400000	0.0000000
0.4100000	0.2100000	0.0200000	0.0500000	0.0100000	0.1700000	0.0800000	0.0100000	0.0300000	0.0000000
0.1100000	0.3300000	0.0100000	0.0100000	0.0000000	0.3400000	0.1400000	0.0000000	0.0500000	0.0000000
0.4000000	0.2000000	0.0200000	0.0300000	0.0100000	0.2200000	0.0700000	0.0000000	0.0300000	0.0000000
0.8600000	0.0600000	0.0100000	0.0200000	0.0000000	0.0400000	0.0100000	0.0000000	0.0000000	0.0000000
0.5000000	0.1900000	0.0200000	0.0500000	0.0100000	0.1300000	0.0600000	0.0100000	0.0200000	0.0000000
